snap,gas,star,total,halo
139,49935360.6569,1253388.28421,491391655.744,19
225,108249342.575,2213203.99722,1417593072.84,26
275,112813921.887,2861867.44789,1606669228.15,41
640,161382284.969,5095765.8151,2947394006.99,44
974,564830176.148,29123095.6342,11218160996.7,16
1024,392189293.567,29689366.5588,10918255462.0,17
1269,301149118.816,31128664.325,10967717336.5,14
1280,307827791.58,31386375.3183,11143554989.6,14
1408,477944820.772,31966426.9799,13360648830.2,11
1740,742882251.417,35412557.6667,14131836847.8,10
2048,1029842915.75,37690051.2123,16225669571.8,10
2088,1058968623.66,37927823.7796,16611230359.1,10
2432,1256466876.24,41891783.9606,19138316825.3,10
2688,1571066554.53,47662415.6659,16595969560.5,10
2816,1795140246.36,68524675.9965,16814584888.3,10
2944,1731483140.85,77226802.4282,16119500456.0,10
3072,1660624291.91,85103921.0162,15427960174.9,8
3195,1578235648.45,90426666.7136,14452051311.1,10
3200,1571989159.6,90961243.7725,14351441045.0,10
3328,1472997512.12,96972737.0592,13507835676.1,11
3456,1472311038.88,102333016.036,13642247696.6,11
3584,1439406652.08,107726773.179,13289268347.3,10
3606,1435101875.7,109361892.796,13229125636.3,10
3712,1367263990.62,114190728.235,12878878468.1,10
3840,1269441928.67,121524941.151,12280160977.7,10
3968,1193792825.96,128271939.268,11288723106.7,11
4096,1139588130.39,135332344.929,10574577743.8,11
